SYS_ID_TR_MERCHANT_REGISTRATION,MEMBER_BANK_MID
7054ef43-57f8-47f4-9bb3-e62dc431991d,65546213
7054ef43-57f8-47f4-9bb3-e62dc431991d,32664413
c83c58c1-8133-45b8-824e-4a1ff9711336,81010010012
777dadb2-0796-4767-85c9-c4c82d9b64ff,81010010011
777dadb2-0796-4767-85c9-c4c82d9b64ff,81010010012
cd79de3c-cbfa-4d7b-9e4b-48e6b9c9c8db,81010010011
988401c9-450e-4ea1-92e3-894b58957758,
988401c9-450e-4ea1-92e3-894b58957758,
c70cd900-c705-4c5d-a144-e2bb836da333,
c70cd900-c705-4c5d-a144-e2bb836da333,
c8773dd3-eb81-4dad-9b37-41b4096620ca,
