IDTRACKER,APLC_SEQ_NO,MID,TID,MERCHANT NAME,CITY,PROSES PENGAJUAN APLIKASI,TGL APLIKASI MASUK,STATUS APLIKASI,STATUS WR,STATUS WO,PROVIDER_TYP,TMNL_STATUS,TMNL_MODEL,SNO,MER_DTL_ADDR1,MER_DTL_ADDR2,MER_DTL_ADDR3,MID_BRI,MID_BNI,MID_BTN,MID_ASTRAPAY,MID_DANAMON,MID_BSI,MID_OCBC,TID_BRI,TID_BNI,TID_BTN,TID_ASTRAPAY,TID_DANAMON,TID_BSI,TID_OCBC,MEMBER_BANK,DATA_CHNG_DTTM
1787,12004184274,71149261053,74753166,SOES SURGAWI RUKO KEBAYORAN,Tangerang Selatan (Kota),Approved,41:44.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,RUKO KEBAYORAN ARCADE I BLOK KA/C3-37,BINTARO SEKTOR VII,TANGERANG SELATAN,,'000100214903111,2.01E+14,,,,,,,20033679,,,,,SINGLE BTN,23:24.4
1788,12004184296,71147764693,74736149,RUMAH KAWAN BUNDA,Medan (Kota),Approved,51:05.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,8.73E+19,CREATIVEPRENEUR CORNER 2023,JL. GAGAK HITAM NO.7 KEC MEDAN SUNGGAL,MEDAN,,'000100207900978,'000,,,,,,1990299,,,,,,SINGLE BNI,43:41.0
1789,12004184305,71147821526,74738138,XIAOLIN_AKSARA,Medan (Kota),Approved,52:53.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,7.30E+18,CREATIVEPRENEUR CORNER 2023,JL GAGAK HITAM NO 7 MEDAN SUNGGAL,MEDAN,,'000100214902796,'000,,,,,,1991099,,,,,,SINGLE BNI,37:30.7
1790,12004184328,71147910347,74739180,SARCA,Medan (Kota),Approved,57:54.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,9.73E+19,CREATIVEPRENEUR CORNER 2023,"JL. GAGAK HITAM NO.7, MEDAN SUNGGAL",MEDAN,,'000100205900785,'000,,,,,,1993699,,,,,,SINGLE BNI,32:32.5
1791,12004184351,71147910440,74739181,SUPER SLURP,Medan (Kota),Approved,03:00.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,1.73E+19,CREATIVEPRENEUR CORNER 2023,JL. GAGAK HITAM NO.7 MEDAN SUNGGAL,MEDAN,,'000100215901686,'000,,,,,,1995199,,,,,,SINGLE BNI,24:29.1
1792,12004184353,71150213159,74763226,"KANTOR NOTARIS ASEP SUNARYA SH, MKN",Bekasi (Kota),Approved,03:29.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,8.73E+19,RUKO BUMYAGARA BLOK D NO 12,MUSTIKAJAYA,BEKASI,,'000100214902802,2.01E+14,,,,,,,20033761,,,,,SINGLE BTN,59:58.2
1793,12004184605,71147764972,74736152,VIENS KITCHEN,Medan (Kota),Approved,15:29.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,9.73E+19,CREATIVEPRENEUR CORNER 2023,JL. GAGAK HITAM NO.7 KEC MEDAN SUNGGAL,MEDAN,,'000100208901036,'000,,,,,,1599901,,,,,,SINGLE BNI,44:14.3
1794,12004184624,71147821998,74738142,CHIGO,Medan (Kota),Approved,20:59.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,1.73E+19,CREATIVEPRENEUR CORNER 2023,JL. GAGAK HITAM NO.7 KEC MEDAN SUNGGAL,MEDAN,,'000100218900700,'000,,,,,,1994499,,,,,,SINGLE BNI,46:26.5
1795,12004184647,71148603058,74746355,D+D 9A15 BRANCH BITUNG,Tangerang (Kab),Approved,31:34.0,Approval Completed,OPEN - WAREHOUSE,,Telkomsel,New Request,,,"JL. BOULEVARD CITRA RAYA, RUKO MARDI GRAS",BLOK KF 01 NO.15 & 16 KEL MEKAR BAKTI KEC BINONG,TANGERANG,1999216291,'000100208139352,'000200711486030585,,,,,10379106,14037426,20033741,,,,,SHARING BMRI-BRI-BNI-BTN,26:52.0
1796,12004184746,71147910719,74739184,EXH REDEEMPOINT GRBGPN1,Makassar (Kota),Approved,57:21.0,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,Withdrawal,MOVE2500,2.73E+19,REDEEMPOINT GRBBPN1 EVENT GELEGAR REJEKI BNI GAK,"PAKE NANTI, MALL RATU INDAH JL. RATULANGI","KEL MAMAJANG LUAR KEC MAMAJANG, MAKASSAR",,'000100210001271,'000,,,,,,7818101,,,,,,SINGLE BNI,21:33.1
