IDTRACKER,APLC_SEQ_NO,MID,TID,MERCHANT NAME,CITY,PROSES PENGAJUAN APLIKASI,TGL APLIKASI MASUK,STATUS APLIKASI,STATUS WR,STATUS WO,PROVIDER_TYP,TMNL_STATUS,TMNL_MODEL,SNO,MER_DTL_ADDR1,MER_DTL_ADDR2,MER_DTL_ADDR3,MID_BRI,MID_BNI,MID_BTN,MID_ASTRAPAY,MID_DANAMON,MID_BSI,MID_OCBC,TID_BRI,TID_BNI,TID_BTN,TID_ASTRAPAY,TID_DANAMON,TID_BSI,TID_OCBC,MEMBER_BANK,DATA_CHNG_DTTM
3161,12004534963,71152571990,74786850,COVARE CAFE & WORKSPACE M,Jakarta Pusat (Kota Administrasi),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,GRAHA PPI JL. ABDUL MUIS NO.6-10 RT 008 RW 008,KEL PETOJO SELATAN KEC GAMBIR,JAKARTA PUSAT,,'000100214902801,'000,,,,,,12100802,,,,,,SINGLE BNI,17-MAR-23 05.54.23.852000000 PM
3162,12004183638,71148807973,74747949,KOPERASI PEGAWAI REPUBLIK INDONESIA NYINAU EKONOMI UTAMA (MINIMARKET NEU),Banyumas (Kab),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,9.73E+19,JL RUMAH SAKIT NO 01,KEL KEJAWAR KEC BANYUMAS,BANYUMAS,,'000100217107838,2.00711E+14,,,,,,,20033206,,,,,SINGLE BTN,13-MAR-23 07.37.00.491000000 PM
3163,12004209812,71149053234,74751220,MIDI SKZ4 TRAINING,Minahasa Utara (Kab),Approved,2012023,Merchant Analyst,OPEN - WAREHOUSE,,Telkomsel,New Request,,,JL. RAYA MANADO-BITUNG,DS. KOLONGAN KEC. KALAWAT,MINAHASA UTARA,,'000100217107838,,,,,,,,,,,,,SINGLE BMRI,06-MAR-23 09.10.55.093000000 AM
3164,12004086578,71152762049,74788933,OXO TOWN HOUSE UMALAS - PAYMENT LINK,Badung (Kab),Approved,2012023,Approval Completed,,,None,On Operation,,,"GG. AGA DUKUH INDAH, JL. UMALAS","KEROBOKAN KELOD, KUTA UTARA",BADUNG,,'000100206003411,,,,,,,,,,,,,SINGLE BMRI,15-MAR-23 10.14.35.507000000 PM
3165,12003310664,71138245699,74635370,GOORI GUNUNG PATI 1 MBL,Semarang (Kota),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,XL,On Operation,MOVE2500,2.73E+19,,,,,'000100208008192,'000,,,,,,5420202,,,,,,SINGLE BNI,29-JAN-23 07.46.54.370000000 PM
3166,12003083239,71135177684,74601451,DWIDAYATOUR.CO.ID MALL BINTAROJAYA XCHANGE - PB6,Tangerang Selatan (Kota),Approved,2012023,Approval Completed,,,None,On Operation,,,"BINTARO JAYA XCHANGE MALL, LG FLOOR BLOK 108B","JL. SEKTOR VII NO 2, BANTEN 15227",,,'000100217006392,,,,,,,,,,,,,SINGLE BMRI,18-JAN-23 10.30.52.176000000 AM
3167,12003123325,71136198672,74612608,HAMMER MENADO TS,Manado (Kota),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,1.73E+19,"MENADO TOWN SQUARE, LANTAI DASAR, -,",MANADO,,,'000100218121945,'000,,,,,,11280752,,,,,,SINGLE BNI,24-JAN-23 04.27.55.228000000 PM
3168,12004180680,71148602342,74746345,MDS DISCOVERY MALL BALI,Badung (Kab),Approved,2012023,Approval Completed,,,Telkomsel,On Operation,,,JL. KARTIKA PLAZA,KEL KUTA KEC KUTA,BADUNG,,'000100206003459,,,,,,,,,,,,,SINGLE BMRI,03-MAR-23 08.10.33.905000000 AM
3169,12004180678,71147828305,74738248,MDS BALIKPAPAN PLAZA,Balikpapan (Kota),Approved,2012023,Approval Completed,,,Telkomsel,On Operation,,,JL. JENDRAL SUDIRMAN NO.1,KEL. KLANDASAN ILIR KEC. BALIKPAPAN SELATAN,BALIKPAPAN,,'000100203901229,,,,,,,,,,,,,SINGLE BMRI,01-MAR-23 02.50.43.196000000 PM
3170,12003740759,71142560806,74682264,HAWAII IV MBL,Pekanbaru (Kota),Approved,2012023,Approval Completed,CLOSE - COMPLETED,Complete,Telkomsel,On Operation,MOVE2500,5.73E+19,JL. DURIAN NO 1E-1F,"KEL LABUH BARU TIMUR, KEC PAYUNG SEKAKI",PEKANBARU,,'000100215901727,'000,,,,,,2346503,,,,,,SINGLE BNI,15-FEB-23 04.35.29.031000000 PM
