SYS_ID_TR_MERCHANT_REGISTRATION,NUMBERS
cd23b15d-1062-4ce2-8ae7-ae04281384ed,Y0000048210
28fdac96-c2e3-4666-9e7e-53d2df6238fb,Y0000040672
72485403-4ea7-4413-bade-5c1fb927642c,Y0000052067
41a56d06-e9e1-47af-aaee-83bec08ea474,Y0000000578
b54df68f-8841-4ae8-a119-240fd1bafd13,Y0000046553
4b929fd2-5c48-46e4-ba5b-4e5f20e12634,Y0000042023
5f5e3165-18e7-45ad-bfc0-e9e50fcc047e,Y0000045487
6acf7cb8-0484-4949-8ed2-c343fb979bdf,Y0000049882
69884c88-ba6b-4544-81b0-25503a818965,Y0000043797
6d8065c8-4924-4bcd-8bd5-7997365e6f6d,Y0000037764
ac212c4e-6bf6-438f-811f-eaca603a0de1,Y0000000806
838bd0f5-9444-4276-8128-7b641347d91b,Y0000048352
ce9ac9fc-01f6-4fbd-b0af-3ce846ed5f44,Y0000044173
09cfea9f-b439-49cc-8ea7-4fe1547adc33,Y0000043123
69c5bf55-ae97-469f-bcb7-907b8e893523,Y0000041703
e12a7eb0-30ae-4fda-9508-8bdacae4ca6f,Y0000047707
718484a7-35ed-4e2a-b83a-ebf14f9d312b,Y0000005118
98bc2606-45ff-4a96-8ede-ee24bd7ab29f,Y0000000715
a6c72bd4-5b34-4ae8-8601-cfd8a1aab05f, 0000000326
9203a3e2-cb51-4ce3-ad04-64c504681996,Y0000004687
3aa421d3-1011-40e2-a0c2-45431f27fc0d,Y0000044351
c5e172cc-e6d1-4c36-9b3a-73658fd45ad1,Y0000049224
3cbf9d17-d8c4-49f2-beae-29198de7e2c3,Y0000048206
54536a81-ab60-4755-90ec-a8d1bbd1df67,Y0000021286
d7cc28dd-97fb-4c85-9479-9c1020f909e4,Y0000004970
eaf0aeab-4dde-4282-8eba-a88ec634c1b5,Y0000045701
9f95d6f6-8fb3-4e65-9fb7-2276b39be5cb,Y0000041213
9de49239-03f9-45cf-b38c-5f2ba62a9dee,Y0000041763
cc9b3a87-4cf6-474d-9ba0-2e5a5c3ee048,Y0000046889
3eef79ef-5817-4b2a-b889-5716bd303f28,Y0000040518
c64f0353-cdfb-43f4-aaae-979d054cd30e,Y0000048795
98e8b94c-c83e-4def-9aec-3d3f7bb2239e,Y0000045589
428fe00a-8515-431b-907a-fce8b0172557,Y0000041976
49ea1bfb-fb61-40f7-8e2c-81ae82e852d4,Y0000048554
fbc8028b-4c33-4b15-9ece-66751a1e39b0,Y0000050611
41af6888-3589-4c1c-9b4a-4df7a08acf6e,Y0000047613
781cb6d7-d4fa-40f6-99e1-b4b5b8aeb159,Y0000046154
86249727-2fbd-433a-84ac-fde11263b9fb,Y0000045595
29f5d745-ff51-4258-8891-9e846e753da9,Y0000041337
8ff0e25a-c43a-4d74-adbc-a73e22e1792e,Y0000045942
05cf82e5-562a-4398-a8b8-fbc5ee2b5d1d,Y0000043170
7461bb7c-6032-4997-8ac2-0e6c00fc6de3, 0000000343
81abfb02-04a2-43fc-9a8f-7d9e7a17a417,Y0000022600
96b75cce-a4d8-454a-9b44-ec3348489088,Y0000041595
b1829072-5e65-4c6e-b403-f2e6772873cd, 0000000333
3dc29546-1bff-47d9-b21a-ed6f045008cf,Y0000043295
a4e6532b-0de8-4d8c-8421-87812ef20d2a,Y0000002053
cf170b01-0efb-4777-ab9a-1f279eccde60, 0000000349
6f5cdbb6-48e4-4f65-98ec-be801d5f454a,Y0000043128
0f39da29-f29b-4c77-aae3-1e395e961754,Y0000049815
d2af2100-916c-48e4-98a7-422822b75a8c,Y0000042781
dd0b46c9-a3d7-483b-aa43-6c85d58ae3fe,Y0000018175
047544a1-254b-4c5f-958e-985e8b873769,Y0000051662
dba00c19-737e-4a31-8c04-0fd13576118d,Y0000037763
85058322-ab90-4b5d-8e55-232e4a0ede5e,Y0000042798
d381cd96-bba6-4b6d-a658-3dd8b8f2e3ec,Y0000018796
d41fbbd6-0224-4bfc-88e5-9f8702af1bd2,Y0000018068
9bde48d7-566b-4d2d-99f9-9a003041bead,Y0000040418
f5267fb3-26a9-420e-9da3-6c48faa483f9,Y0000040695
cb74e8dd-38e1-4f64-823c-378e39a6fa58,Y0000040603
9ed906cf-c978-4344-bd62-5e5ccdc4a2ae,Y0000047704
d4bd8706-74c6-4037-b7a4-554b267d4be0,Y0000043751
5e08647c-471d-42de-8d96-f065265188ed,Y0000046886
fc47d44a-2bfd-4cc8-b703-4ff8fda90439,Y0000040685
12bf79b7-197b-42ec-bf76-933ba22f8b6c,Y0000045587
75d3540f-a9e7-4c6d-a647-64f3da8a07d3,Y0000042555
e21480fd-b6c1-4d67-ac43-7f13045ca611,Y0000046544
5ebd4f46-e059-40c8-a913-60ed14061161,Y0000043296
12332e41-a1f8-4cf1-9d11-efea348ae637,Y0000043113
2502cd1e-84b7-42ea-89e9-6c6d67edcaee,Y0000043615
fa80c566-da3a-4795-b262-082b5704d5cb,Y0000044179
930eda44-8082-4dd6-8011-d02f85edc80a,Y0000042773
7e00ac90-ee45-4ec6-ad22-085c2b743d16,Y0000021364
28e92236-29c6-4fcf-a925-821c47a334c7,Y0000003802
54be9eda-ad35-465a-8d92-04a5686ce1de,Y0000043291
e2bbfc3a-fe44-4376-8195-5a0938e7749e,Y0000000411
14a39224-7bfa-448e-bdae-c92b387887b1,Y0000044348
480242fe-77b7-4360-bc54-fa83b88d8f9e,Y0000037557
38b89119-6541-4efd-b11d-e695517d9ccb,Y0000043231
f2478ae4-7e84-4278-b420-63883de69d46,Y0000001009
6e955708-f9d0-4547-b10a-6be2de26fde4,Y0000023489
d112b211-1824-4e46-a961-f1b98f2e5cbd,Y0000000711
